;for beyerdynamic 449350 with serial number 34804; Sensitivity: 15.0mV/Pa = -36.5dBV	
;Frequency[Hz] "rel. Level [dB], 90-degree-curve"
50	0.6
60	0.5
70	0.4
80	0.3
90	0.3
100	0.3
110	0.2
120	0.2
130	0.2
140	0.2
150	0.1
160	0.1
170	0.1
180	0.1
190	0.1
200	0.1
210	0.1
220	0.1
230	0.1
240	0.1
250	0.1
260	0.1
270	0.1
280	0.2
290	0.2
300	0.2
310	0.2
320	0.2
330	0.2
340	0.2
350	0.2
360	0.2
370	0.1
380	0.1
390	0.1
400	0.0
420	-0.1
440	-0.1
470	-0.3
500	-0.5
530	-0.5
570	-0.6
600	-0.6
640	-0.6
680	-0.5
720	-0.4
770	-0.3
820	-0.3
870	-0.4
920	-0.5
980	-0.6
1050	-0.7
1110	-0.6
1180	-0.4
1260	-0.2
1340	-0.1
1420	-0.2
1510	-0.2
1610	-0.0
1710	-0.0
1820	-0.2
1930	-0.3
2050	-0.3
2180	-0.4
2320	-0.6
2470	-0.4
2630	-0.1
2790	-0.3
2970	-0.2
3160	-0.3
3360	-0.7
3570	-1.1
3800	-1.3
4040	-1.5
4290	-1.3
4570	-0.9
4860	-0.6
5160	-0.3
5490	-0.2
5840	-0.1
6210	-0.3
6610	-0.5
7030	-0.5
7470	-0.6
7950	-0.6
8450	-0.4
8990	-0.2
9560	-0.4
10160	-0.3
10810	-0.4
11490	-0.3
12220	-0.2
13000	-0.2
13830	-0.5
14700	-0.8
15640	-1.1
16630	-1.4
17690	-1.7
18810	-2.1
19980	-2.4
